日期,省,平均气温
2019/1/1,云南省,5.30589572
2019/1/2,云南省,5.89297355
2019/1/3,云南省,7.391770234
2019/1/4,云南省,7.405440278
2019/1/5,云南省,7.383332252
2019/1/6,云南省,8.348875103
2019/1/7,云南省,8.801719895
2019/1/8,云南省,7.673997195
2019/1/9,云南省,7.730991113
2019/1/10,云南省,8.157582668
2019/1/11,云南省,8.046052838
2019/1/12,云南省,8.550726582
2019/1/13,云南省,8.317527075
2019/1/14,云南省,8.509955495
2019/1/15,云南省,7.312979567
2019/1/16,云南省,6.263757964
2019/1/17,云南省,6.539969023
2019/1/18,云南省,8.183061961
2019/1/19,云南省,8.984834079
2019/1/20,云南省,7.441349001
2019/1/21,云南省,6.61195006
2019/1/22,云南省,7.625535716
2019/1/23,云南省,8.363361653
2019/1/24,云南省,9.121265138
2019/1/25,云南省,8.898265544
2019/1/26,云南省,8.92771363
2019/1/27,云南省,9.587177315
2019/1/28,云南省,9.894729187
2019/1/29,云南省,9.904922982
2019/1/30,云南省,9.647560982
2019/1/31,云南省,7.895298581
2019/2/1,云南省,8.922516919
2019/2/2,云南省,11.07764622
2019/2/3,云南省,10.63901013
2019/2/4,云南省,9.715522741
2019/2/5,云南省,10.34439949
2019/2/6,云南省,11.33272648
2019/2/7,云南省,11.08542852
2019/2/8,云南省,11.90243833
2019/2/9,云南省,11.42960406
2019/2/10,云南省,10.92231606
2019/2/11,云南省,10.41381798
2019/2/12,云南省,11.38298349
2019/2/13,云南省,11.26454984
2019/2/14,云南省,11.32995724
2019/2/15,云南省,11.23693698
2019/2/16,云南省,11.5893804
2019/2/17,云南省,9.410824402
2019/2/18,云南省,8.602179958
2019/2/19,云南省,9.869878361
2019/2/20,云南省,10.54414434
2019/2/21,云南省,10.6163142
2019/2/22,云南省,10.30107988
2019/2/23,云南省,10.32286867
2019/2/24,云南省,10.79233431
2019/2/25,云南省,10.91634383
2019/2/26,云南省,10.85761717
2019/2/27,云南省,10.44953131
2019/2/28,云南省,10.35990189
2019/3/1,云南省,11.34646305
2019/3/2,云南省,11.18982296
2019/3/3,云南省,11.18401762
2019/3/4,云南省,12.31125674
2019/3/5,云南省,12.10547302
2019/3/6,云南省,10.40678801
2019/3/7,云南省,10.57985935
2019/3/8,云南省,10.61764848
2019/3/9,云南省,10.91290586
2019/3/10,云南省,11.06474625
2019/3/11,云南省,11.69569696
2019/3/12,云南省,12.29200707
2019/3/13,云南省,13.61369433
2019/3/14,云南省,13.18555686
2019/3/15,云南省,13.30372158
2019/3/16,云南省,13.76885119
2019/3/17,云南省,13.9884
2019/3/18,云南省,14.26837311
2019/3/19,云南省,14.94096759
2019/3/20,云南省,15.09274819
2019/3/21,云南省,14.90576497
2019/3/22,云南省,13.85724309
2019/3/23,云南省,12.27678474
2019/3/24,云南省,12.89310143
2019/3/25,云南省,14.07929078
2019/3/26,云南省,15.71438282
2019/3/27,云南省,16.15871874
2019/3/28,云南省,14.94472044
2019/3/29,云南省,15.297727
2019/3/30,云南省,16.45826386
2019/3/31,云南省,15.68046026
2019/4/1,云南省,14.8068479
2019/4/2,云南省,14.86540499
2019/4/3,云南省,13.20931073
2019/4/4,云南省,14.37086933
2019/4/5,云南省,14.73461779
2019/4/6,云南省,16.21842333
2019/4/7,云南省,17.20690929
2019/4/8,云南省,17.97582051
2019/4/9,云南省,18.13891718
2019/4/10,云南省,17.50865647
2019/4/11,云南省,17.16464517
2019/4/12,云南省,17.75141302
2019/4/13,云南省,18.77290603
2019/4/14,云南省,18.22401594
2019/4/15,云南省,17.84155732
2019/4/16,云南省,18.10396419
2019/4/17,云南省,19.65726584
2019/4/18,云南省,20.97032054
2019/4/19,云南省,20.99832947
2019/4/20,云南省,20.34427646
2019/4/21,云南省,19.30376128
2019/4/22,云南省,19.77018856
2019/4/23,云南省,20.53046132
2019/4/24,云南省,20.76461741
2019/4/25,云南省,20.71797424
2019/4/26,云南省,20.51148633
2019/4/27,云南省,20.73784461
2019/4/28,云南省,19.85602194
2019/4/29,云南省,18.31222458
2019/4/30,云南省,18.01694871
2019/5/1,云南省,17.93170229
2019/5/2,云南省,18.86445886
2019/5/3,云南省,19.33474353
2019/5/4,云南省,20.35040468
2019/5/5,云南省,20.18827408
2019/5/6,云南省,20.11243172
2019/5/7,云南省,19.57085844
2019/5/8,云南省,18.68868569
2019/5/9,云南省,18.51768451
2019/5/10,云南省,19.21030796
2019/5/11,云南省,20.2909861
2019/5/12,云南省,20.96349683
2019/5/13,云南省,20.80130775
2019/5/14,云南省,21.40526907
2019/5/15,云南省,22.13999809
2019/5/16,云南省,22.52669442
2019/5/17,云南省,22.8634012
2019/5/18,云南省,23.2944802
2019/5/19,云南省,23.19475891
2019/5/20,云南省,21.53585014
2019/5/21,云南省,21.15985853
2019/5/22,云南省,21.12754923
2019/5/23,云南省,21.73839265
2019/5/24,云南省,22.22273263
2019/5/25,云南省,22.47109967
2019/5/26,云南省,22.25483608
2019/5/27,云南省,21.80895931
2019/5/28,云南省,20.92432428
2019/5/29,云南省,20.86822098
2019/5/30,云南省,20.75110763
2019/5/31,云南省,20.05350544
2019/6/1,云南省,19.35708272
2019/6/2,云南省,20.56313068
2019/6/3,云南省,22.16599421
2019/6/4,云南省,22.11719661
2019/6/5,云南省,22.90418595
2019/6/6,云南省,22.91526467
2019/6/7,云南省,23.42048023
2019/6/8,云南省,23.16973159
2019/6/9,云南省,23.18275454
2019/6/10,云南省,22.99127679
2019/6/11,云南省,23.32381522
2019/6/12,云南省,23.09553005
2019/6/13,云南省,22.87016924
2019/6/14,云南省,22.5082937
2019/6/15,云南省,22.5655265
2019/6/16,云南省,21.78256731
2019/6/17,云南省,22.16588638
2019/6/18,云南省,22.92437568
2019/6/19,云南省,23.05567007
2019/6/20,云南省,23.87287531
2019/6/21,云南省,24.76572862
2019/6/22,云南省,24.83548548
2019/6/23,云南省,23.34051821
2019/6/24,云南省,22.86828628
2019/6/25,云南省,21.84694751
2019/6/26,云南省,22.37281908
2019/6/27,云南省,23.26697479
2019/6/28,云南省,23.74722747
2019/6/29,云南省,22.84413716
2019/6/30,云南省,22.08363556
2019/7/1,云南省,22.09348688
2019/7/2,云南省,23.09074974
2019/7/3,云南省,23.17146569
2019/7/4,云南省,22.17712698
2019/7/5,云南省,21.30289342
2019/7/6,云南省,21.64943243
2019/7/7,云南省,21.76361077
2019/7/8,云南省,21.85281322
2019/7/9,云南省,20.5547687
2019/7/10,云南省,20.07417197
2019/7/11,云南省,20.78381439
2019/7/12,云南省,21.17774278
2019/7/13,云南省,21.07881191
2019/7/14,云南省,21.47358295
2019/7/15,云南省,21.99990011
2019/7/16,云南省,22.60369782
2019/7/17,云南省,23.56069595
2019/7/18,云南省,24.30483567
2019/7/19,云南省,23.43562216
2019/7/20,云南省,22.81593457
2019/7/21,云南省,22.90705954
2019/7/22,云南省,22.49759725
2019/7/23,云南省,21.57200884
2019/7/24,云南省,21.57449717
2019/7/25,云南省,21.66400298
2019/7/26,云南省,22.16810928
2019/7/27,云南省,23.27749843
2019/7/28,云南省,24.08034431
2019/7/29,云南省,22.88927014
2019/7/30,云南省,21.79138987
2019/7/31,云南省,21.64385059
2019/8/1,云南省,22.28432344
2019/8/2,云南省,22.79193258
2019/8/3,云南省,22.43058976
2019/8/4,云南省,22.21801231
2019/8/5,云南省,22.17325613
2019/8/6,云南省,22.44959142
2019/8/7,云南省,22.47016069
2019/8/8,云南省,22.45542881
2019/8/9,云南省,22.50980547
2019/8/10,云南省,22.70130103
2019/8/11,云南省,23.36321479
2019/8/12,云南省,23.44606159
2019/8/13,云南省,23.39455585
2019/8/14,云南省,22.4350031
2019/8/15,云南省,22.61540248
2019/8/16,云南省,22.97462354
2019/8/17,云南省,23.5351956
2019/8/18,云南省,23.74920023
2019/8/19,云南省,24.13882221
2019/8/20,云南省,23.83250192
2019/8/21,云南省,23.48505458
2019/8/22,云南省,22.44056528
2019/8/23,云南省,21.28474116
2019/8/24,云南省,22.24194136
2019/8/25,云南省,23.03146603
2019/8/26,云南省,23.5637414
2019/8/27,云南省,22.07854168
2019/8/28,云南省,22.17466615
2019/8/29,云南省,22.51421527
2019/8/30,云南省,21.02280138
2019/8/31,云南省,20.4019082
2019/9/1,云南省,20.81047624
2019/9/2,云南省,20.366903
2019/9/3,云南省,20.42111821
2019/9/4,云南省,21.02126345
2019/9/5,云南省,21.26434091
2019/9/6,云南省,21.79168372
2019/9/7,云南省,22.44102593
2019/9/8,云南省,22.3390362
2019/9/9,云南省,21.83222336
2019/9/10,云南省,21.16225714
2019/9/11,云南省,21.09610641
2019/9/12,云南省,21.44932176
2019/9/13,云南省,21.90961228
2019/9/14,云南省,21.40253679
2019/9/15,云南省,20.52424186
2019/9/16,云南省,20.40157484
2019/9/17,云南省,20.70396982
2019/9/18,云南省,20.16413505
2019/9/19,云南省,19.93809056
2019/9/20,云南省,18.9776375
2019/9/21,云南省,17.74605839
2019/9/22,云南省,17.61970963
2019/9/23,云南省,17.35128488
2019/9/24,云南省,17.00825064
2019/9/25,云南省,16.471815
2019/9/26,云南省,16.85420676
2019/9/27,云南省,17.34834783
2019/9/28,云南省,17.61650412
2019/9/29,云南省,18.77304691
2019/9/30,云南省,19.4375353
2019/10/1,云南省,20.08861047
2019/10/2,云南省,20.23341499
2019/10/3,云南省,20.12087131
2019/10/4,云南省,19.81624614
2019/10/5,云南省,18.96793373
2019/10/6,云南省,18.80545708
2019/10/7,云南省,18.49171174
2019/10/8,云南省,17.94937271
2019/10/9,云南省,18.36431283
2019/10/10,云南省,18.49079951
2019/10/11,云南省,18.02266949
2019/10/12,云南省,17.77206944
2019/10/13,云南省,17.24338603
2019/10/14,云南省,16.44118253
2019/10/15,云南省,15.780265
2019/10/16,云南省,16.01631267
2019/10/17,云南省,15.94535669
2019/10/18,云南省,15.68309779
2019/10/19,云南省,16.41834601
2019/10/20,云南省,16.78911349
2019/10/21,云南省,17.00903485
2019/10/22,云南省,17.13676334
2019/10/23,云南省,16.44191863
2019/10/24,云南省,15.99184415
2019/10/25,云南省,15.95242004
2019/10/26,云南省,14.98198885
2019/10/27,云南省,15.36038772
2019/10/28,云南省,15.11397532
2019/10/29,云南省,14.56069797
2019/10/30,云南省,14.73738778
2019/10/31,云南省,14.8759571
2019/11/1,云南省,15.41732986
2019/11/2,云南省,15.31459826
2019/11/3,云南省,15.10531819
2019/11/4,云南省,14.68958676
2019/11/5,云南省,14.2171092
2019/11/6,云南省,14.17164457
2019/11/7,云南省,13.80258188
2019/11/8,云南省,13.81885783
2019/11/9,云南省,14.32507689
2019/11/10,云南省,14.27502651
2019/11/11,云南省,15.28003397
2019/11/12,云南省,16.06365946
2019/11/13,云南省,14.20186899
2019/11/14,云南省,13.84418809
2019/11/15,云南省,14.24826102
2019/11/16,云南省,14.69724131
2019/11/17,云南省,14.08090935
2019/11/18,云南省,11.87763731
2019/11/19,云南省,11.87512734
2019/11/20,云南省,11.63090316
2019/11/21,云南省,11.6403842
2019/11/22,云南省,12.43247392
2019/11/23,云南省,12.67005061
2019/11/24,云南省,11.82222886
2019/11/25,云南省,10.83101494
2019/11/26,云南省,11.58616225
2019/11/27,云南省,11.20490059
2019/11/28,云南省,10.78684327
2019/11/29,云南省,10.84748396
2019/11/30,云南省,10.41341549
2019/12/1,云南省,9.342084329
2019/12/2,云南省,7.805208872
2019/12/3,云南省,7.858157739
2019/12/4,云南省,7.775264698
2019/12/5,云南省,6.748858109
2019/12/6,云南省,5.465496243
2019/12/7,云南省,5.483176686
2019/12/8,云南省,5.82436253
2019/12/9,云南省,6.633075989
2019/12/10,云南省,6.382461947
2019/12/11,云南省,6.648589493
2019/12/12,云南省,7.806915255
2019/12/13,云南省,8.60417484
2019/12/14,云南省,9.77099748
2019/12/15,云南省,10.74130444
2019/12/16,云南省,10.93497145
2019/12/17,云南省,10.48928826
2019/12/18,云南省,8.948021691
2019/12/19,云南省,7.451040063
2019/12/20,云南省,7.64843353
2019/12/21,云南省,8.630916279
2019/12/22,云南省,8.984211909
2019/12/23,云南省,9.58864039
2019/12/24,云南省,9.273080885
2019/12/25,云南省,9.630050368
2019/12/26,云南省,7.258914961
2019/12/27,云南省,6.614660447
2019/12/28,云南省,7.468670514
2019/12/29,云南省,7.508048857
2019/12/30,云南省,7.190911358
2019/12/31,云南省,7.63745039
